URL,Listing_ID,Type,Subtype,Price,Bedroom,Living_area,Listing_address,Postal_code,Locality,District,Swimming_pool,Garden,Garden_area,Surface_of_land,Terrace,Kitchen,Facade,Open Fire,Furnished,State of the building
https://www.immoweb.be/en/classified/penthouse/for-sale/embourg/4053/10611828,10611828,apartment,penthouse,399000,3,145.0,Rue du Vieux Chemin 37,4053,Embourg,Liège,False,,,,True,installed,3.0,True,,GOOD
https://www.immoweb.be/en/classified/villa/for-sale/drongen/9031/10669709,10669709,house,villa,3200000,4,377.0,Karel De Bondtlaan 32,9031,Drongen,Gent,False,,,2666,True,,4.0,False,,GOOD
https://www.immoweb.be/en/classified/house/for-sale/mazy/5032/10669707,10669707,house,house,575000,6,400.0,None None,5032,Mazy,Namur,False,True,5400,5400,True,installed,4.0,True,,TO_RENOVATE
https://www.immoweb.be/en/classified/house/for-sale/grez-doiceau/1390/10669706,10669706,house,house,850000,18,730.0,None None,1390,Grez-Doiceau,Nivelles,False,True,1290,1290,True,,4.0,True,,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/poperinge/8970/10669700,10669700,apartment,apartment,270000,2,72.0,Werf 46,8970,Poperinge,Ieper,False,,,,True,hyper equipped,,False,False,AS_NEW
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/lierde/9570/10605895,10605895,house,mixed use building,199000,3,,Caudenberg 24,9570,Lierde,Oudenaarde,False,True,,867,True,installed,3.0,True,,TO_RENOVATE
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/geraardsbergen/9500/10669692,10669692,house,mixed use building,300000,4,150.0,Felicien Cauwelstraat 28,9500,Geraardsbergen,Aalst,False,True,,266,True,installed,2.0,True,,JUST_RENOVATED
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/ronse/9600/10669691,10669691,house,mixed use building,275000,3,159.0,Opgeëistenstraat 125,9600,Ronse,Oudenaarde,False,,,110,True,installed,2.0,True,,GOOD
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/oosterzele/9860/10669690,10669690,house,mixed use building,399000,3,120.0,Keiberg 37A,9860,Oosterzele,Gent,False,True,,244,True,installed,3.0,True,,GOOD
https://www.immoweb.be/en/classified/house/for-sale/brakel/9660/10669689,10669689,house,house,199999,2,102.0,"Hoogstraat 9, 101",9660,Brakel,Oudenaarde,False,,,67,True,semi equipped,3.0,True,,GOOD
https://www.immoweb.be/en/classified/bungalow/for-sale/galmaarden/1570/10669685,10669685,house,bungalow,345000,4,236.0,Heirbaan 22,1570,Galmaarden,Halle-Vilvoorde,False,True,,720,True,installed,4.0,True,,GOOD
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/geraardsbergen/9500/10669683,10669683,house,mixed use building,175000,4,283.0,Hasseltsestraat 15,9500,Geraardsbergen,Aalst,False,,,251,True,semi equipped,3.0,True,,TO_RENOVATE
https://www.immoweb.be/en/classified/house/for-sale/lierde/9570/10605881,10605881,house,house,199000,3,,Caudenberg 24,9570,Lierde,Oudenaarde,False,True,,867,True,installed,3.0,True,,TO_RENOVATE
https://www.immoweb.be/en/classified/house/for-sale/geraardsbergen/9500/10669681,10669681,house,house,319000,4,230.0,Lestpolder 59,9500,Geraardsbergen,Aalst,False,True,,2230,True,semi equipped,3.0,True,,TO_RENOVATE
https://www.immoweb.be/en/classified/house/for-sale/geraardsbergen/9500/10669680,10669680,house,house,300000,4,150.0,Felicien Cauwelstraat 28,9500,Geraardsbergen,Aalst,False,True,,266,True,installed,2.0,True,,JUST_RENOVATED
https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10669679,10669679,house,house,275000,3,159.0,Opgeëistenstraat 125,9600,Ronse,Oudenaarde,False,,,110,True,installed,2.0,True,,GOOD
https://www.immoweb.be/en/classified/house/for-sale/oosterzele/9860/10669678,10669678,house,house,200000,3,120.0,Keiberg 37A,9860,Oosterzele,Gent,False,True,,244,True,installed,3.0,True,,GOOD
https://www.immoweb.be/en/classified/house/for-sale/oosterzele/9860/10669677,10669677,house,house,399000,3,120.0,Keiberg 37A,9860,Oosterzele,Gent,False,True,,244,True,installed,3.0,True,,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/brakel/9660/10669676,10669676,apartment,apartment,199999,2,102.0,"Hoogstraat 9, 101",9660,Brakel,Oudenaarde,False,,,,True,semi equipped,3.0,True,,GOOD
https://www.immoweb.be/en/classified/house/for-sale/geraardsbergen/9500/10669674,10669674,house,house,175000,4,283.0,Hasseltsestraat 15,9500,Geraardsbergen,Aalst,False,,,251,True,semi equipped,3.0,True,,TO_RENOVATE
https://www.immoweb.be/en/classified/villa/for-sale/woluwe-saint-pierre/1150/10669671,10669671,house,villa,3500000,7,988.0,None None,1150,Woluwe-Saint-Pierre,Brussels,True,True,6135,6135,True,installed,4.0,False,False,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/house/for-sale/cornesse/4860/10669670,10669670,house,house,295000,4,131.0,rue Golettes 14,4860,CORNESSE,Verviers,False,True,,270,True,installed,2.0,True,,
https://www.immoweb.be/en/classified/house/for-sale/eeklo/9900/10669666,10669666,house,house,275000,2,,Kroonstraat 24,9900,Eeklo,Eeklo,False,,,110,True,installed,2.0,False,,JUST_RENOVATED
https://www.immoweb.be/en/classified/house/for-sale/ravels/2380/10669664,10669664,house,house,330000,3,233.0,Tommelhof 19,2380,Ravels,Turnhout,False,,,347,True,,3.0,False,,AS_NEW
https://www.immoweb.be/en/classified/house/for-sale/lanaken/3620/10669663,10669663,house,house,351774,3,144.0,Pannestraat lot 1,3620,Lanaken,Tongeren,False,,,468,True,,4.0,False,,
https://www.immoweb.be/en/classified/house/for-sale/montignies-sur-sambre/6061/10669661,10669661,house,house,159000,5,190.0,Rue de la Paix 96,6061,Montignies-sur-Sambre,Charleroi,False,,,0,True,semi equipped,2.0,True,,GOOD
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/oostende/8400/10669630,10669630,apartment group,apartment group,250000 - 495000,,,Nieuwpoortsesteenweg 206,8400,Oostende,Oostend,False,,,,True,,,False,,
https://www.immoweb.be/en/classified/apartment/for-sale/schoten/2900/10416533,10416533,apartment,apartment,189000,3,90.0,Salvialei 186,2900,Schoten,Antwerp,False,,,,True,,3.0,False,,
https://www.immoweb.be/en/classified/house/for-sale/zoutleeuw/3440/10669651,10669651,house,house,360000,5,268.0,Bogaerdenstraat 7,3440,Zoutleeuw,Leuven,False,,,146,True,,2.0,False,False,GOOD
https://www.immoweb.be/en/classified/house/for-sale/anthisnes/4160/10669634,10669634,house,house,399127,3,150.0,None None,4160,Anthisnes,Huy,False,True,,1944,True,,4.0,False,,
https://www.immoweb.be/en/classified/house/for-sale/westerlo%20%28tongerlo%29/2260/10669631,10669631,house,house,379000,3,174.0,Geneinde 89,2260,Westerlo (Tongerlo),Turnhout,False,,,719,True,hyper equipped,4.0,False,False,GOOD
https://www.immoweb.be/en/classified/house/for-sale/kuurne/8531/10669628,10669628,house,house,235000,4,,Darmstraat 8,8531,Kuurne,Kortrijk,False,,,0,True,,,False,,GOOD
https://www.immoweb.be/en/classified/villa/for-sale/jurbise/7050/10669626,10669626,house,villa,380000,3,,rue des Masnuy 193,7050,Jurbise,Mons,False,,,1100,True,installed,4.0,True,False,GOOD
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/blankenberge/8370/10669604,10669604,apartment group,apartment group,265000 - 425000,,,K. Deswertlaan 50,8370,Blankenberge,Brugge,False,,,,True,,,False,False,
https://www.immoweb.be/en/classified/house/for-sale/brakel/9660/10669602,10669602,house,house,269000,6,,Oudenaardsestraat 57,9660,Brakel,Oudenaarde,False,True,,832,True,semi equipped,3.0,False,,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/town-house/for-sale/dinant/5500/10669594,10669594,house,town house,135000,2,70.0,Rue Richier 27,5500,Dinant,Dinant,False,True,136,136,True,,,False,,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/hasti%C3%A8re/5540/10669593,10669593,apartment,apartment,85000,2,65.0,Rue Fernand Champt 21,5540,Hastière,Dinant,False,,,,True,,,False,,TO_RENOVATE
https://www.immoweb.be/en/classified/villa/for-sale/doische/5680/10669592,10669592,house,villa,160000,5,240.0,Rue de l'Egalité 25,5680,Doische,Philippeville,False,True,1142,1142,True,,,False,,TO_RESTORE
https://www.immoweb.be/en/classified/villa/for-sale/hasti%C3%A8re/5540/10669591,10669591,house,villa,160000,2,75.0,Rue de la Vallée de Han 10,5540,Hastière,Dinant,False,True,800,733,True,,,True,,GOOD
https://www.immoweb.be/en/classified/house/for-sale/onhaye/5522/10669586,10669586,house,house,620000,6,610.0,Rue de Warnant 4,5522,Onhaye,Dinant,False,True,3050,3050,True,,,False,,GOOD
https://www.immoweb.be/en/classified/town-house/for-sale/dinant/5500/10669585,10669585,house,town house,345000,4,475.0,Place Reine Astrid 9,5500,Dinant,Dinant,False,,,135,True,,,False,,TO_RESTORE
https://www.immoweb.be/en/classified/house/for-sale/dinant/5500/10669583,10669583,house,house,420000,3,445.0,Rue Grande 125,5500,Dinant,Dinant,False,True,245,245,True,,,False,,GOOD
https://www.immoweb.be/en/classified/house/for-sale/yvoir/5530/10669582,10669582,house,house,49000,2,32.0,Parc Résidentiel La Gayolle 314,5530,Yvoir,Dinant,True,True,200,200,True,,,False,,TO_RESTORE
https://www.immoweb.be/en/classified/villa/for-sale/florennes/5621/10669581,10669581,house,villa,325000,5,180.0,Rue de la Station 289,5621,Florennes,Philippeville,False,True,8000,8400,True,,,False,,GOOD
https://www.immoweb.be/en/classified/house/for-sale/hasti%C3%A8re/5540/10669580,10669580,house,house,299000,5,560.0,Rue de France 126,5540,Hastière,Dinant,False,,,300,True,,,False,,GOOD
https://www.immoweb.be/en/classified/villa/for-sale/couvin/5660/10669577,10669577,house,villa,179000,3,80.0,Le-Caillou-d'Eau 141,5660,Couvin,Philippeville,False,True,600,600,True,,,False,,GOOD
https://www.immoweb.be/en/classified/villa/for-sale/maredret/5537/10669576,10669576,house,villa,299000,4,195.0,Rue de la Cour 19,5537,Maredret,Dinant,False,True,686,686,True,,,False,,GOOD
https://www.immoweb.be/en/classified/house/for-sale/hasti%C3%A8re/5540/10669575,10669575,house,house,35000,1,45.0,Allée des Perdrix 13,5540,Hastière,Dinant,False,True,203,203,True,,,False,,TO_RENOVATE
https://www.immoweb.be/en/classified/town-house/for-sale/dinant/5500/10669572,10669572,house,town house,149000,4,144.0,Rue Camille Henry 89,5500,Dinant,Dinant,False,True,650,650,True,,,True,,TO_RENOVATE
https://www.immoweb.be/en/classified/apartment/for-sale/dinant/5503/10669568,10669568,apartment,apartment,120000,1,50.0,Grand'route de Ciney 92,5503,Dinant,Dinant,False,,,,True,,,False,,TO_RESTORE
